uid,amount_usd,kind,class,token_bought_symbol,token_sold_symbol,token_bought_amount,token_sold_amount,token_bought_price_usd,token_sold_price_usd,fulfill,fee
0x77cd1415c7f47b188c0d7e8534ffb4fee4c2b014bade5cd29b0ec366e79b511e8dd0d83783cdda5b2900310e6834a650ddaa21246695bd7a,80409.87573328454,sell,limit,USDC,DAI,81519.599804,81462.57600010012,0.9883074887747738,0.9870774984231498,0,0.0
0x1a03edf0dca79ef08305e170e6d452af4879c506a5c2138d52bbb3c7d59ecceb8dd0d83783cdda5b2900310e6834a650ddaa21246695bd7a,80409.87573328454,sell,limit,USDT,DAI,81478.868516,81462.57600010012,0.9864627437944715,0.9870774984231498,0,0.0
0xdee56ec79a49b59ae2c10a02004f65465b2dc720555aec88922a5905a9b1cb7bba3eff3dd2b4442b6c141c5008260dc18824f2f16695bd73,4927.38633263479,sell,limit,DAI,USDT,5000.0,4995.004994999999,0.9870774984231498,0.9864627437944715,0,0.0
0xd5c69bfeabfc3c2ddaae6bded94937cf3d6b1dda5bb43089d78ed8c07047c518ba3eff3dd2b4442b6c141c5008260dc18824f2f16695bd6a,12231.714455678515,sell,limit,DAI,USDT,12411.970190620003,12399.570619999999,0.9870774984231498,0.9864627437944715,0,0.0
0x3a3f093b6c704fbaa9041645f7dd3a0746f3ff2a27f75b5daf6ba8a978f699aaba3eff3dd2b4442b6c141c5008260dc18824f2f16695bd6a,12231.714455678515,sell,limit,USDC,USDT,12413.210148,12399.570619999999,0.9883074887747738,0.9864627437944715,0,0.0
0x7a971831aafce61e13cc932a6f44fc8f6e022b35fa37303b05da2e3ab67599e58dd0d83783cdda5b2900310e6834a650ddaa21246695bc33,4934.894002715479,sell,limit,USDT,DAI,5000.0,4999.500049995001,0.9864627437944715,0.9870774984231498,0,0.0
0xe82b3452a43f40da16f674fc5bfd1464438a7f3e49d3d2606bd5d51514296844d00cf7a1f61dcae41445865e30c7feaf1809783666bd3a15,6321.569045970478,sell,limit,KEKEC,USDC,35535325.222222224,6396.358539999999,0.000205280162551016,0.9883074887747738,0,0.0
0x943168cb4c8f157678ebd92e7b1f2b6ea032226fdf91ca75f28cc3d01cb51ba32a8054e5854dbbc1f201c7134d0bff41d068535b66bd3951,26634.494082450732,buy,limit,ONDO,USDT,25000.0,27000.0,1.0955294244968274,0.9864627437944715,0,0.0
0xcbd3a8c3d434ae7b8edfad429084b0058ce494704945c9e15e0c29f9ad4d1ba68dd0d83783cdda5b2900310e6834a650ddaa21246695b984,88313.34654536628,sell,limit,USDC,DAI,89523.19822399999,89469.5165135932,0.9883074887747738,0.9870774984231498,0,0.0
0x28ec2157c77a0d89602eb5d8d8c8d1c3e45efbb38150c82eec87e05e75e861748dd0d83783cdda5b2900310e6834a650ddaa21246695b984,88313.34654536628,sell,limit,USDT,DAI,89478.463466,89469.5165135932,0.9864627437944715,0.9870774984231498,0,0.0
0x76301328ad5fcecf964dc6d5dcdd9396086742ac8e674aa95613b4482c2e2f140ac2bdb421d5f959543ec295c1bc01237e903e8566999f79,3459.0762107117084,sell,limit,ONDO,USDC,3181.8181818181824,3500.0,1.0955294244968274,0.9883074887747738,0,0.0
0x264804dd8d93a849b85ed50efb78749270d63eb9944b44319691d0584bfb3323f3bccd7af9286627d1f7efb8658d0828c348de436695b73c,36578.513288250586,sell,limit,WSTETH,WETH,9.079176516207907,10.642570057681288,4030.8989519520655,3437.0,0,0.0
0xf1249cf292fa14b5424fc8bb63bda2d6ee340955c3535cc874a9084e0666383cf3bccd7af9286627d1f7efb8658d0828c348de436695b73a,36578.513288250586,sell,limit,WEETH,WETH,10.211545970345195,10.642570057681288,3583.6918553728174,3437.0,0,0.0
0x93e17a2bb6f3f2f967113716ab987869e20f463bc26434fa1b0f4bd90faca04af3bccd7af9286627d1f7efb8658d0828c348de436695b739,36578.513288250586,sell,limit,STETH,WETH,10.663855197796652,10.642570057681288,3437.0,3437.0,0,0.0
