uid,amount_usd,token_bought_symbol,token_sold_symbol,token_bought_amount,token_sold_amount,token_bought_price_usd,token_sold_price_usd,fulfill
0xd2d597d1ac439d9776e2d08ae3cb43dc82cd23f436b90fd2af64580a54b4048bf095f41768465278747b7a8c9f28155a0ec1075666e86659,298.78972596337655,USDC,DPI,897.0,3.0,1.0174685504702754,99.59657532112553,0
0x250b26a5db30be38cecfb3a0643f943d710966f960d5aa69fb08b360613f72c587938044faf4190efca4cd337e641c62bbb4685a66e85ea4,2222.5626273602065,WETH,TMNT,6.6283933207247685,3488628.063539352,3359.4200000000005,0.0006370878714726982,0
0x5aab8b989b2c0665283dede4fb7bb9f3589203fdd9c9a6a2db9a72b47f34154887938044faf4190efca4cd337e641c62bbb4685a66e85d9b,637.0878714726982,WETH,TMNT,1.5,1000000.0,3359.4200000000005,0.0006370878714726982,0
0x87dbbbd10fc36b93e70265c0d0c7ac8e51a16b85d4e39f52d32a3c0e325e488287938044faf4190efca4cd337e641c62bbb4685a66e85d6c,1274.1757429453965,WETH,TMNT,2.6,2000000.0,3359.4200000000005,0.0006370878714726982,0
0xcefa3539bd0c4a682ca4bc1c6e3986c6aa9b098fe62bf8e1427bace25252273ff095f41768465278747b7a8c9f28155a0ec1075666e85916,84.97737742650655,USDC,APE,642.6,90.0,1.0174685504702754,0.9441930825167394,0
0xbed9c9bbf66bfa1c35b58c23988e2c450bd280746c17f3f18e54180a3170cc843b15cec2d922ab0ef74688bcc1056461049f89cb66e84f2f,33594.200000000004,CLEVCVX,WETH,30000.000000000004,10.0,2.714647453591582,3359.4200000000005,0
0x610af91dbaa4fc6679f1d7199730c66461d56dd16604d241f3403c6f29060ec05be3b2b2b29f0d95646260fc7980e07444007e2c66e83d67,1255.350421106035,USDC,KITTY,31166.098706999997,445229981.5373203,1.0174685504702754,2.8195550011512604e-06,0
0x3ee07ffe713059f815fb4aef4ec1a6fa2b6fba0728ef16159b44fdcbcc70b3e94a0573f70e77a28dd079c0e079174135ab6b41c566e7d40f,25.202123333243843,USDC,RBX,132.347218,719.2783609529464,1.0174685504702754,0.035038066903409194,0
0xb29f280d4bca544969e053c12015ad453931d6bae1ddc1d1188f28c8bcbb7898d1134c2ac58cf9c283e6cd560ba2d46cc477e7da66e7d1e3,28559.075169808682,DAI,COW,60000.00000000001,120000.00000000001,1.018642511324467,0.237992293081739,0
0xbd2d0747bb41cca568ce41789ddb9cbfa4631b588dceca3e6e3e8d77644716d081a745df888c89893c1b2a359b835898d8a6f12866e7657b,164578.3884166758,WETH,LDO,101.6577977212996,71089.36903587385,3359.4200000000005,2.3150914215263967,0
0x3db81c2dc470cedd47ca4c3028039df92449aea67199768aea64363877f8b09881a745df888c89893c1b2a359b835898d8a6f12866e7652b,164578.3884166758,USDT,LDO,243836.535793,71089.36903587385,1.0168453008816105,2.3150914215263967,0
0xba2e387f15d605447931e68956bc8bd0af3af851921c7e210b3d36cb6de69b3b51e518cb3beaf23604c1494d9b215b2b9634e11f66e6fb26,839.8550000000001,REMIO,WETH,0.5,0.25,4510.476822106541,3359.4200000000005,0
0x81e3ce18805e39e724ed0698519aef0f28f9e50e11e162a1b5b8ff11f7a1e13851e518cb3beaf23604c1494d9b215b2b9634e11f66e6e08f,5711.014000000002,MILADY,WETH,0.6296296296296297,1.7000000000000002,16512.094255836237,3359.4200000000005,0
0x22f51bd56ca02c79046e03cd243c4173c5e44363c95285539afc8549be6c099c168838860e9dae62f09921ab18428344a6db61f966e6c319,10873.41794871492,DAI,MUSE,32000.000000000004,1000.0000000000001,1.018642511324467,10.873417948714918,0
0x2b4a7fa3bc2b83d7c404dd6a606aeb8136ab523d5c0cd401d60653b8c3707bc051e518cb3beaf23604c1494d9b215b2b9634e11f66e6a0ab,3359.4200000000005,MILADY,WETH,1.0,1.0,16512.094255836237,3359.4200000000005,0
0x64168d0d53745c58f2ec14aa85babb8bdd6fcef258db2b629082048f40071ae5ba95718a52b5a3dba749a7641712dc05a3550d4f66e652a3,1282.272989985341,DAI,OLAS,5520.0,800.0000000000001,1.018642511324467,1.602841237481676,0
0xf2aee49bccf3564c41d25300477cdedaa9b23fc37c06e13b07aca21dde38b03eba95718a52b5a3dba749a7641712dc05a3550d4f66e6527e,1282.272989985341,DAI,OLAS,5408.0,800.0000000000001,1.018642511324467,1.602841237481676,0
0xb046cafbcd43e85a80783d5b37d906f11adba0af1d296fd9e6c31f8c35cfe132ba95718a52b5a3dba749a7641712dc05a3550d4f66e65263,1282.272989985341,DAI,OLAS,5328.0,800.0000000000001,1.018642511324467,1.602841237481676,0
0xd4e888ff0422558347ff4d3449fc8156784780fa49e3c6411e6ac550329354deba95718a52b5a3dba749a7641712dc05a3550d4f66e65205,1711.319419025105,OLAS,DAI,400.00000000000006,1680.0000000000002,1.602841237481676,1.018642511324467,0
0x1817e331517f71ad1d83ddb951517175d939dcdfdb337ef83f230514d792c9c7fa811980282df5f506474a187cfbff449092e2c166e52912,35046.792850751866,USDC,LINK,260245.603159,2602.4560315973413,1.0174685504702754,13.4668145879263,0
0x6be1aad468396332ce05a8c5cd8d710541e9be9e96b0406e4d6568e74ddaee5a666f11f1f481d5a6884174d46c1d121cefaa21fc66e4cd88,49332.51515612674,WETH,LDO,27.062557299345336,21309.10023570499,3359.4200000000005,2.3150914215263967,0
0x371714158354b8caf3718b7c537e0ec3711ed2133e9bbca7012bca122feef983f1d3639c7f591b45daf9b747f3d35e2d483b189966e45a1d,109.45713623136405,USDC,SABR,1046.528233,205201.6143585813,1.0174685504702754,0.0005334126467450312,0
0x41251bc54115a0e2b1e1dd557cd3b7737c1a82f6290ebef7ddc754312b84a81464ef160af70d84ba5cb3dc5dc06c0da3f311d0c566e459b0,10813.524750974351,USDC,CMPT,30600.0,1700.0000000000002,1.0174685504702754,6.360896912337853,0
0xe0528cd9ab5399abf10651db8acc973e03b8d031a3360bcebf19dea3bfabce79f095f41768465278747b7a8c9f28155a0ec1075666e43a04,285.09326449936174,USDT,MVI,590.0,10.0,1.0168453008816105,28.50932644993617,0
0x64b10f9408d1bd9c787e1eeb4d26fbad299bab9f4a3993180630f2b5093f7525850db8b32d5dd815f1e3eaec65d9898d56c1c18566e43820,254.93763361722557,USDC,GRT,1176.0,1200.0,1.0174685504702754,0.21244802801435464,0
