auction_id,deals_paired,fullfilled_proportion,total_volume,volume_paired,execution_time_seconds,CoW_total_volume,CoW_volume_proportion,CoW transaction paired,CoW_fee_estimate,Volume_fee_estimate,,,,,Mean,SD
9144948,6.712693463,0.005322722,27133178.77,144422.3789,29.22283649,991.6608349,3.65E-05,1,14.95804544,14.44223789,,,,,,
9144949,5.857818196,0.001555006,28678772.03,44595.66442,29.23024273,20615.7067,0.000718849,1,0,4.459566442,,,,,,
9144950,10.29556101,0.005962991,29298605.22,174707.3127,29.36718082,4958.304175,0.000169233,1,16.95029205,17.47073127,,,,,,
9144951,9.102782661,0.005267779,18407879.22,96968.63982,60.30238438,0,0,0,0,9.696863982,,,,,,
9144952,5.382671823,0.002346584,30051160.07,70517.56123,17.48244858,993.6499573,3.31E-05,1,12.76409249,7.051756123,,,,,,
9144953,15.51390005,0.009143351,30037159.81,274640.2885,17.74122667,993.6499573,3.31E-05,1,12.76409249,27.46402885,,,,,,
9144954,15.65998477,0.009051231,29954349.75,271123.7496,17.60406518,27786.55078,0.00092763,2,20.11964729,27.11237496,,,,,,
9144955,8.977849034,0.005347364,28742676.29,153697.5651,27.6412189,91.01747559,3.17E-06,1,15.00732086,15.36975651,,,,,,
9144956,1.410595454,0.001592963,29948266.9,47706.4836,27.11039329,0,0,0,0,4.77064836,,,,,,
9144959,5.62894985,0.004481306,30073500.13,134768.5654,33.24901867,0,0,0,0,13.47685654,,,,,,
9144960,5.889201512,0.003900034,29882075.89,116541.1114,30.4180429,0,0,0,0,11.65411114,,,,,,
9144961,2.924275697,0.002395225,30135308.42,72180.84619,38.74384904,27308.43014,0.000906194,2,61.70061605,7.218084619,,,,,,
9144963,4.342941627,0.002074687,30022256.58,62286.8001,29.88977885,0,0,0,0,6.22868001,,,,,,
9144964,9.908248122,0.005260465,28332836.68,149043.8878,19.95741439,9913.192049,0.000349883,1,23.15276957,14.90438878,,,,,,
9144972,8.779589866,0.004925932,28626280.25,141011.1006,30.1405673,137480,0.00480258,1,20.06847038,14.10111006,,,,,,
9144973,5.863907069,0.00440718,28813687.2,126987.1157,32.79336476,0,0,0,0,12.69871157,,,,,,
9144974,5.283719134,0.001597184,29950038.09,47835.72713,35.70161843,14326.02641,0.000478331,1,24.2718578,4.783572713,,,,,,
9144975,3.271146297,0.002978059,27803417.27,82800.21835,38.41097879,12738.82479,0.000458175,2,12.23120961,8.280021835,,,,,,
9144982,6.880067219,0.004783463,30114317.35,144050.73,30.7389729,44019.30911,0.00146174,2,39.5460314,14.405073,,,,,,
9144983,7.902738077,0.005583944,29912143.92,167027.7261,48.28494096,0,0,0,0,16.70277261,,,,,,
9144985,6.498782401,0.003327729,30306847.3,100852.9664,47.83903289,12985.43296,0.000428465,2,20.65794396,10.08529664,,,,,,
