time,tx_hash,sell_token,buy_token,units_sold,units_bought,buy_price,sell_price,buy_value_usd,sell_value_usd,fee,limit_sell_amount,limit_buy_amount,partial_fill,fill_proportion,surplus_usd
2024-03-01 00:16:47.000 UTC,0x6c949d5b9e67bd1074de131f33dbee07644745de1952c61330d26460a4cea214,ETH,GYSR,0.3,10877.370249167976,0.087377,3352.96,950.4319802615502,1005.8879999999999,0.0,300000000000000000,10758689999637814511194,False,1,10.974990839217455
2024-03-01 00:17:23.000 UTC,0xc5e170c8a53dde31e47af09bf64b4671b5f97420f8f794159a88e2d413f449c7,RLB,USDC,211066.92358116028,28599.639186,1.000573,,28616.026779253578,,0.0,211066923581160292229051,28256059023,False,1,343.777034433399
2024-03-01 00:17:59.000 UTC,0x2dfef23b6a05f8251a75d601eacc6a2443b0fef1cb7053ed52ea336e7b7ad1c5,ETH,USDC,1.3671328789876735,4564.041436,1.000573,3352.96,4566.656631742828,4583.94185793051,0.0,1367132878987673694,4453030540,False,1,111.49493272496456
2024-03-01 00:19:23.000 UTC,0x08c0a7287fac339cda6af0eef45bb94b813e41b84f9498b6d53b55389077a1e9,ETH,BIDEN,0.222,51198.117067788,,3352.96,,744.35712,0.0,222000000000000000,49351322690153,False,1,26.85009963058732
2024-03-01 00:22:23.000 UTC,0xce28db94d79493de1860c70a9bdf87ae3c97ac7ae0608ff66ee477077d8bb35a,ETH,PUTIN,0.75,215883.630733157,,3361.32,,2520.9900000000002,0.0,750000000000000000,213417960190378,False,1,28.792969436963165
2024-03-01 00:23:11.000 UTC,0xb351e9a353d83fa7a2b2287993fea78a9d46378031195050cc585e69dbb294db,ETH,BEAM,3.0,307659.53977562604,0.03258,3361.32,10023.547805889895,10083.960000000001,0.0,3000000000000000000,302345498416097280883807,False,1,174.1749355372307
2024-03-01 00:23:47.000 UTC,0x54db2013c5248801c51cf49dbf7eb176d07891cf3c213e90588d0f1d431c71a5,ETH,USDC,3.11,10440.745674,1.000153,3361.32,10442.343108088122,10453.7052,0.0,3110000000000000000,10226377715,False,1,214.63404221138842
2024-03-01 00:24:11.000 UTC,0x2fbede8189a0ee9ceefd110b7cd456fc85775d047cdf78307b04d5f76cd267fa,USDC,MUBI,4000.0,28351.060661166008,0.138695,1.000153,3932.15035840042,4000.612,0.0,4000000000,28147934564740859204279,False,1,28.663079261253674
2024-03-01 00:27:35.000 UTC,0x8d9cdecef3c76a5bc45bc81331f2c9ff664ac86e3d1ecd1ac84393b1906bed20,ETH,USDT,0.222,721.009825,1.000835,3367.04,721.6118682038749,747.48288,0.0,222000000000000000,696760396,False,1,25.139786447813687
2024-03-01 00:29:23.000 UTC,0x6cb65469c161ec4c6bdaca2bde87a6fef6d5a79faa937ba80cb20e19c85d0969,DAI,USDe,1015494.9121986384,1012849.7734620341,1.002349,1.000465,1015228.9575798963,1015967.1173328108,0.0,1015494912198638396589703,1012751950477978360933667,False,1,98.12406313744854
